"";"BEMA";"CETE";"CHFU";"CHMI";"HOMA";"LEMA";"LYTR";"MEEL";"MESU";"PAIN";"PLCO";"POMA";"POMO";"PUPA";"SASO";"SCLA";"SOAS";"SPRU";"SUSP"
"BEMA";0;0;0,026052838852182;0;0,00112636153947698;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA
"CETE";0;0;0,251508479121474;NA;0;0;NA;0;0,0184592408385936;0;0;0;0;0;0;0;1;0;0
"HOMA";7,54946929744016e-06;0;0;0,00325340568260171;0,00811953021009295;0;0,222039492550168;1,06891052572504e-06;0;0;0;0;0;0;0;2,47324386900991e-06;0,0187077623700887;0;0
"LEMA";0;0;0;0;0,0171459047243609;0,0135268255166552;NA;2,62835515452759e-05;0;0;0;0,0101214136588474;8,30581112905718e-06;2,57893221071191e-05;0;0;3,92352766907339e-05;0;0
"MESU";0;0;0,268308498382809;0,168598458886131;0;0,0407454728223507;0,140679978662094;0;0;0;0,0291920676181763;0;0;0;0;0,203683625469399;0,416407867889705;0;0
"PAIN";0,230019226772471;0;0;0;0,0342684994589343;0,0479855268076195;NA;0;0;0,27815688531861;0;0;0;0,0101270221405466;0;0;0,720604387525386;0;0
"PLCO";0;0;0;0,0451464130962027;0,0172857767556581;0;0,167709681778829;0;0;0;0;0;0;0,0600353456810581;0;0;0;0;0,107797275694468
"POMO";0,152563670617905;0;0;0;0,0226688388474207;0;NA;0,245542140255204;0;0;0;0,000378168654696809;0;0;0;0;0;0,370185817995704;0
"SASO";0,03484334408108;0,181751559381893;0;0;0;0;0;0;0;0;0;0;0;0;0,154443130801061;0;NA;0;0
"CHFU";0;0;0;0;0,00801792108161442;0;NA;0;0;NA;0;0;0;0;0;0;0,0764763972775972;0;0,000999941053789277
"POMA";0,105293129188219;0;0;0,0332038328566007;0,0133260028612258;0,0247060823680885;0;0,0241132391545647;0,0422622925439901;0;0;0,00919869026709909;0,0187561031846139;0;0;0;0,0413126624922614;0,0191075943738763;0
"SCLA";0,202260259148517;0;0;0,336991212567801;0,0319846899390172;0,0946213645296134;NA;0;0,0448807829276147;0;0,016014238986348;0;0;0;0,0341402942859586;0,0605969854252623;0,531483271938178;0,125727021659022;NA
"SOAS";0;0;0,0541074338046653;NA;0,0488184390017375;0,0181324954016414;NA;0,0258875531496653;0;0;0,0696229198255899;0;0;NA;0;0;0;0,0184437973718481;NA
"PUPA";0;0;0,0289068372052614;0;0;0;0;0,255046621129986;0;0;0;0;0;0;0;0;0;0;0
"SPRU";0;0;0;NA;0;0;NA;0,2418613012109;0;0;0;0;0,332613880516917;0;0;0;0,323417890038382;0;0
"CHMI";0;0;0;0;0,00317309729502761;0;NA;NA;0;0;0;0;0,00228515653956847;0;0;0;0,0616696407670073;NA;NA
"MEEL";0,000765627071613798;0;0;NA;0,0166971229131225;0,0362320577536528;NA;0;0;0;0;0,00312970309121515;0,0388885600532473;0,0372247065764862;0,0501767839973298;0,035196312662287;0,86340908538836;0;0
"LYTR";NA;NA;NA;NA;0,0798131262599809;0;0;NA;NA;0;0,21587400885808;0,231607882496113;NA;0;0;NA;NA;0;NA
